"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages"
"1992Q4",58370,60340,60060,58430,57130,55210,53330,52930,52190,51540,51430,52070,52440,52260,50970,51830,54080,54410,56950,58450,60200,60870,58710,57830,56070,54380,53860,54100,56360,59340,60140,60230,59250,57570,56450,54630,54550,52510,51950,50090,50080,48720,49280,48610,49450,49250,45950,41580,38600,36020,37190,37990,37030,33960,31950,30810,30020,28100,28540,27900,28480,29040,29540,28770,28740,27700,27660,26750,25880,24720,24180,23140,23310,18560,18110,17320,17260,15520,15440,13900,12830,10880,10020,8750,7880,6310,5680,4620,3800,3100,2460,1990,1520,1070,860,294330,265200,259170,275720,293680,278030,293650,263720,246130,211400,178120,145370,144570,132720,107310,79440,50360,23500,818700,870500,979000,1094400,1404800,1862300,2185800,925600,2330400,2733500,2681700,2573200,2457800,7900,547700,403100,163100,83700,33300,9810,1910,31.8,3552200
"1993Q1",57830,60310,60610,58840,57300,56270,53290,53230,52440,51750,51390,51680,53000,52570,51390,51430,54250,54060,56540,58500,59690,60690,59270,57740,56530,54400,54080,54150,55480,58600,60420,60560,59470,58040,56900,55270,54440,53300,51940,50840,50030,49150,49110,48900,49200,49070,48200,41920,38980,37240,35820,38390,37820,34100,32380,30930,30050,28640,28270,27860,28430,28520,29670,28940,28430,27800,27660,26900,26100,24730,23980,23610,22820,19930,17920,17080,17380,15600,15510,13890,12900,11280,10000,8830,7950,6520,5730,4770,3810,3210,2480,1990,1620,1080,860,294900,266980,260030,274780,293920,276720,295380,265780,246400,215410,178520,145760,143980,133180,108250,79470,50970,24030,821900,873300,981600,1096700,1406600,1868400,2192700,930100,2336600,2742500,2691100,2582800,2467700,8020,549900,405900,164400,85000,34000,9990,1970,31.9,3564400
"1993Q2",58460,59380,60890,59400,57520,56700,53540,53470,52730,52150,51270,51540,53050,52430,52130,51140,53730,54090,55850,58190,59080,60270,59730,57230,56420,54910,54080,53710,55030,58260,59700,60850,59940,58320,57950,55130,54720,53660,52110,51620,49860,49540,48940,49300,48860,49170,49480,41800,40080,38320,34860,38460,38010,35330,32380,31090,30230,28970,28070,27980,28220,28350,29460,28910,28370,28300,27340,26780,26470,24610,23980,23750,22270,21380,17680,17010,17190,15850,15240,14230,12840,11520,9980,8930,7940,6680,5670,4810,3900,3280,2540,2010,1630,1140,850,295660,268590,260430,273000,292730,275990,296750,267240,246500,218850,179050,146340,143310,133490,109060,79530,51210,24340,824700,875800,983600,1097700,1405700,1871100,2196500,934100,2339800,2747600,2696400,2588600,2474600,8160,551100,407800,165200,85700,34500,10160,1990,32.0,3572200
"1993Q3",58440,58960,60700,59930,57950,57270,54420,53660,52920,52220,51640,51340,53110,52340,52640,51160,53270,53930,55580,57440,58610,60110,60070,57200,56850,55100,54200,53740,54920,57380,59810,60580,60460,58750,58100,55900,54870,54210,52670,51980,50020,49910,49120,49220,48810,49340,49850,43280,40970,38310,35340,37890,38010,36190,33010,31530,30330,29460,27850,28160,27920,28210,29320,28990,28410,28120,27480,26880,26270,24950,23890,23790,22300,22620,17080,17130,16840,16200,14860,14460,12920,11750,9920,8910,7990,6800,5650,4850,3940,3220,2560,2000,1650,1140,800,295980,270490,261080,271370,292840,275330,297700,269640,247080,221760,180440,147330,142850,133690,109680,79490,51500,24440,827500,878700,985900,1098900,1406900,1875700,2203500,939500,2346300,2755300,2704200,2597000,2483900,8150,551800,409000,165600,86100,34600,10170,2020,32.1,3582900
"1993Q4",58440,58580,60600,60330,58700,57420,55470,53600,53220,52500,51870,51800,52400,52810,52700,51420,52260,54420,54590,57060,58330,59530,59900,57930,57440,56050,54570,54220,54660,57160,60020,60670,60640,59660,57990,56840,54980,54880,52900,52290,50390,50310,48940,49480,48850,49650,49370,46010,41620,38600,35940,37110,37870,36920,33800,31750,30630,29850,27920,28340,27640,28240,28750,29180,28400,28310,27210,27130,26210,25290,24070,23540,22460,22550,17870,17330,16550,16440,14690,14550,12960,11950,10070,9150,7910,7050,5550,4980,3990,3280,2620,2020,1620,1220,830,296650,272220,261580,269750,293120,276660,298980,271900,247970,225260,181650,148500,142210,134150,110480,79550,52040,24850,830400,881900,988500,1100200,1410400,1883600,2213800,945600,2356000,2767400,2716000,2609300,2497700,8310,553600,411400,166800,87200,35200,10330,2020,32.1,3597800
"1994Q1",57970,58120,60650,60950,59160,57610,56590,53590,53560,52770,52120,51790,52070,53420,53040,51910,52010,54610,54200,56770,58220,59070,59690,58500,57250,56450,54650,54430,54780,56310,59370,61010,61020,59920,58510,57350,55680,54790,53700,52340,51180,50320,49430,49360,49160,49440,49230,48250,41930,39000,37230,35750,38280,37700,33930,32230,30770,29880,28450,28090,27620,28190,28220,29320,28570,27990,27300,27120,26340,25540,24090,23320,22940,22070,19200,17200,16340,16620,14760,14630,12970,12040,10490,9160,7980,7110,5730,5020,4150,3300,2700,2080,1610,1310,860,296860,274100,262440,269480,292720,276620,299820,273860,249450,227850,182880,149410,141920,134300,111620,79560,52640,25310,833400,885300,991900,1102900,1412500,1889800,2222100,951500,2364000,2778100,2726200,2619500,2508600,8570,556000,414000,168100,88600,35900,10620,2060,32.2,3611500
"1994Q2",57530,58710,59740,61250,59770,57870,57040,53850,53810,53080,52560,51690,51960,53490,52920,52680,51750,54170,54320,55960,57980,58340,59250,58870,56760,56280,55150,54560,54320,55890,59110,60400,61340,60390,58850,58460,55590,55130,54080,52580,52030,50210,49820,49240,49560,49140,49370,49570,41890,40100,38320,34810,38310,37870,35180,32230,30920,30040,28780,27860,27760,27950,28050,29130,28520,27910,27790,26810,26210,25910,24040,23330,23090,21560,20610,16960,16280,16420,15030,14360,13320,12000,10710,9140,8100,7140,5880,4970,4180,3350,2760,2110,1640,1330,920,296990,275650,262610,268890,291200,276210,300090,275830,250860,230060,184500,149830,141400,134630,112630,79050,53270,25520,835300,887900,993900,1104100,1412200,1893100,2227500,956600,2368900,2784800,2732100,2626200,2515900,8760,557300,415900,168700,89600,36300,10820,2070,32.3,3620000
"1994Q3",57360,58680,59340,61040,60370,58380,57640,54780,54040,53340,52640,52080,51810,53600,52890,53200,51790,53720,54240,55740,57360,57920,59020,59150,56670,56620,55310,54790,54380,55770,58340,60600,61120,60930,59320,58640,56390,55330,54650,53170,52470,50440,50270,49490,49550,49140,49550,49980,43380,41010,38330,35280,37740,37880,36060,32840,31380,30150,29240,27670,27900,27650,27960,28990,28600,27970,27610,26950,26330,25710,24340,23270,23080,21580,21790,16350,16390,16070,15400,14020,13460,12040,10850,9130,8070,7190,6000,4940,4190,3360,2720,2080,1620,1340,900,296790,278170,263010,268680,290110,276880,300310,278200,252210,233060,185290,151270,141090,134570,114060,78220,53560,25680,838000,891200,996700,1106600,1414200,1899400,2236000,962900,2377100,2793900,2740700,2635200,2525200,8660,557900,416800,168100,89900,36400,10690,2030,32.4,3631800
"1994Q4",57430,58740,58960,60990,60810,59140,57850,55900,54040,53680,52930,52350,52280,52930,53370,53280,52000,52750,54720,54820,57110,57740,58600,59050,57390,57150,56080,55040,54910,55560,58100,60870,61240,61190,60220,58580,57410,55510,55370,53450,52830,50850,50710,49340,49870,49200,49860,49550,46140,41640,38620,35940,37000,37730,36780,33630,31610,30440,29660,27730,28090,27390,27970,28420,28780,27920,27790,26680,26590,25630,24650,23440,22770,21750,21760,17150,16610,15730,15620,13880,13600,12050,11050,9220,8300,7110,6230,4860,4300,3410,2770,2140,1630,1290,950,296920,280600,263850,267570,289890,278750,301620,280310,253600,236390,186060,153060,140650,134610,114370,78990,54230,25910,841400,894700,999400,1109000,1418100,1908100,2247300,969800,2387900,2806900,2753600,2648800,2539300,8790,559600,419000,170000,91000,36800,10850,2070,32.5,3648300
"1995Q1",57850,58280,58520,61100,61460,59700,58080,57070,54040,54060,53210,52640,52330,52630,53990,53650,52620,52550,54880,54580,56780,57670,58020,58750,57810,56900,56530,55090,55250,55730,57390,60330,61750,61600,60540,59200,57940,56230,55350,54240,52910,51650,50770,49830,49740,49520,49670,49430,48400,41990,38990,37200,35640,38140,37570,33790,32040,30580,29710,28270,27830,27380,27900,27900,28930,28100,27490,26770,26600,25810,24870,23510,22580,22170,21300,18460,16460,15590,15780,13920,13700,12050,11120,9600,8300,7170,6290,5010,4300,3570,2760,2210,1670,1290,1010,297220,282950,264790,268280,289030,279510,301600,282960,254900,239010,187530,154390,139950,134760,114430,80200,54770,26340,845000,898600,1003800,1113200,1421400,1915300,2257200,975800,2397200,2818700,2765100,2659900,2550400,8940,561500,421600,172400,92200,37400,11060,2130,32.5,3663700
