"theDate","rawDeath","rawPop","ASM","ASMR","coef1","coef2","expected"
2010-12-29,76.8571428571429,4373558.69565217,106.808808451688,2.02704031829667e-05,143.452726308182,-0.00253827112202636,105.449731069204
2010-12-30,77.3877551020408,4373679.34782609,107.527762954979,2.04068479000567e-05,138.837113043628,-0.00228199985262859,104.66872925022
2010-12-31,77.9183673469388,4373800,108.246603404885,2.05432709718525e-05,133.129720538559,-0.00196713847382754,103.673789031465
2011-01-01,78.4489795918367,4373896.66666667,108.96637794179,2.06798713166686e-05,102.324837983079,-0.000136448526235619,100.2815213027
2011-01-02,78.9795918367347,4373993.33333333,109.686046024344,2.08164514583511e-05,137.685936643875,-0.00220337688253876,104.688164450974
2011-01-03,79.5102040816327,4374090,110.405607682087,2.09530114025064e-05,150.149355874343,-0.00296264945893557,105.777754927865
2011-01-04,80.0408163265306,4374186.66666667,111.125062944548,2.10895511547385e-05,150.319928899292,-0.00298667245205961,105.585548912343
2011-01-05,80.5714285714286,4374283.33333333,111.844411841246,2.12260707206495e-05,144.981320259665,-0.00265168462749457,105.261736224424
2011-01-06,80.1428571428571,4374380,111.200368958009,2.11038428903835e-05,139.642679361002,-0.0023167386337316,104.937934627702
2011-01-07,79.7142857142857,4374476.66666667,110.556459556421,2.09816403925494e-05,134.333904445871,-0.00198185031882696,104.643804819525
2011-01-08,79.2857142857143,4374573.33333333,109.912683601205,2.08594632204518e-05,130.128641007861,-0.00170740739001132,104.548263490712
2011-01-09,78.8571428571429,4374670,109.269041057093,2.07373113673978e-05,127.990780373223,-0.00155086806295789,104.754124185925
2011-01-10,78.4285714285714,4374766.66666667,108.62553188883,2.06151848266966e-05,123.018831105617,-0.00122072771419657,104.727447036095
2011-01-11,78,4374863.33333333,107.982156061174,2.04930835916599e-05,123.247095632783,-0.00121270094970484,105.074771901456
2011-01-12,77.5714285714286,4374960,107.338913538896,2.03710076556016e-05,127.965242446752,-0.00149712923708411,105.52926369981
2011-01-13,76.8367346938775,4375056.66666667,106.325752294714,2.01787277565311e-05,132.683381394437,-0.00178152244793078,105.983704467298
2011-01-14,76.1020408163265,4375153.33333333,105.312712643127,1.99864709335624e-05,137.270378762885,-0.00206581103090646,106.308003031659
2011-01-15,75.3673469387755,4375250,104.299794555979,1.97942371813518e-05,137.498004821654,-0.00211154278371072,105.848090036614
2011-01-16,74.6326530612245,4375346.66666667,103.28699800512,1.96020264945571e-05,133.75674703985,-0.00193108149026957,104.809835500709
2011-01-17,73.8979591836735,4375443.33333333,102.274322962412,1.9409838867838e-05,136.006173610856,-0.00211748364537502,104.262976283039
2011-01-18,73.1632653061225,4375540,101.261769399723,1.92176742958557e-05,125.092119367756,-0.0015063999611591,102.508171150059
2011-01-19,72.4285714285714,4375636.66666667,100.249337288932,1.90255327732733e-05,110.548792564016,-0.000659092794657181,100.667014293721
2011-01-20,72.6122448979592,4375733.33333333,100.484013831729,1.90700701874533e-05,96.0059873233537,0.000188085755042052,98.8261451344542
2011-01-21,72.7959183673469,4375830,100.718666726392,1.911460311364e-05,81.7014472329944,0.00103500961024287,97.2214163385863
2011-01-22,72.9795918367347,4375926.66666667,100.95329597906,1.91591315529985e-05,73.1338920798981,0.00156805506061098,96.6484457688204
2011-01-23,73.1632653061225,4376023.33333333,101.187901595869,1.92036555066934e-05,64.568290395635,0.00210092120199947,96.0758056620211
2011-01-24,73.3469387755102,4376120,101.422483582953,1.92481749758888e-05,58.0194749234878,0.00251027178641717,95.6685311761725
2011-01-25,73.530612244898,4376216.66666667,101.657041946445,1.92926899617485e-05,66.3639253282597,0.0020131762991005,96.5595566384681
2011-01-26,73.7142857142857,4376313.33333333,101.891576692475,1.93372004654359e-05,77.3229632850354,0.00134598972933373,97.5128092250413
2011-01-27,75.1224489795918,4376410,103.770762635161,1.96938363765204e-05,88.2812345702029,0.000678931872188582,98.4658915849038
2011-01-28,76.530612244898,4376506.66666667,105.649714875343,2.00504279350457e-05,99.1857758005104,1.20307801231038e-05,99.3662615639172
2011-01-29,77.9387755102041,4376603.33333333,107.528433469195,2.0406975151673e-05,106.375131015555,-0.000451663946676345,99.5988168235694
2011-01-30,79.3469387755102,4376700,109.406918472874,2.07634780370595e-05,119.767657409986,-0.00126852461275441,100.734714120219
2011-01-31,80.7551020408163,4376796.66666667,111.285169942517,2.11199366018593e-05,125.895037196988,-0.00164077218165072,101.275250611319
2011-02-01,82.1632653061225,4376893.33333333,113.163187934244,2.14763508567229e-05,124.688438377765,-0.00155760332518384,101.315042880057
2011-02-02,83.5714285714286,4376990,115.040972504155,2.1832720812297e-05,123.654970225561,-0.00148570780660472,101.358953171844
2011-02-03,83.0612244897959,4377086.66666667,114.442514056081,2.17191440932363e-05,122.621713721062,-0.001413836345796,101.402857843356
2011-02-04,82.5510204081633,4377183.33333333,113.844059167928,2.16055680497852e-05,121.449877941419,-0.00134191531250657,101.309071016008
2011-02-05,82.0408163265306,4377280,113.245607840453,2.1491992682087e-05,121.657522850083,-0.0013453966966803,101.463118432912
2011-02-06,81.530612244898,4377376.66666667,112.647160074409,2.13784179902849e-05,119.745581423526,-0.00122823229660035,101.308586419258
2011-02-07,81.0204081632653,4377473.33333333,112.048715870553,2.12648439745223e-05,119.237996720797,-0.00119697074895003,101.269071837559
2011-02-08,80.5102040816327,4377570,111.450275229637,2.11512706349421e-05,128.266937655896,-0.00175474235871254,101.922990624545
2011-02-09,80,4377666.66666667,110.851838152416,2.10376979716875e-05,136.231163854106,-0.00224322073808691,102.551447692469
